id_User,assignment,userid,grade,attemptnumber,grupo,userna,tarea,duedate,completionsubmit,lastlogin,timecreated,status,latest,fechaEntrega,ultimoAcceso,semxmatricula,seniority_year
1350,777,1350,100,0,205B,23050043,Actividad 8 205B 1,1742104740,1,1743284106,1696989989,submitted,1,16/03/2025,29/03/2025,4,1
1570,777,1570,100,0,205B,24050001,Actividad 8 205B 1,1742104740,1,1743290301,1724632734,submitted,1,16/03/2025,29/03/2025,2,0
1572,777,1572,100,0,205B,24050003,Actividad 8 205B 1,1742104740,1,1743478510,1724633011,submitted,1,16/03/2025,01/04/2025,2,0
1575,777,1575,100,0,205B,24050006,Actividad 8 205B 1,1742104740,1,1743441727,1724633261,submitted,1,16/03/2025,31/03/2025,2,0
1578,777,1578,100,0,205B,24050009,Actividad 8 205B 1,1742104740,1,1743284002,1724633587,submitted,1,16/03/2025,29/03/2025,2,0
1581,777,1581,100,0,205B,24050012,Actividad 8 205B 1,1742104740,1,1743561841,1724633908,submitted,1,16/03/2025,02/04/2025,2,0
1587,777,1587,100,0,205B,24050018,Actividad 8 205B 1,1742104740,1,1743479255,1724643946,submitted,1,16/03/2025,01/04/2025,2,0
1591,777,1591,100,0,205B,24050022,Actividad 8 205B 1,1742104740,1,1743544931,1724644384,submitted,1,16/03/2025,01/04/2025,2,0
1594,777,1594,100,0,205B,24050025,Actividad 8 205B 1,1742104740,1,1743894012,1724644719,submitted,1,16/03/2025,05/04/2025,2,0
1595,777,1595,100,0,205B,24050026,Actividad 8 205B 1,1742104740,1,1743445304,1724644852,submitted,1,16/03/2025,31/03/2025,2,0
1602,777,1602,100,0,205B,24050033,Actividad 8 205B 1,1742104740,1,1743284169,1724645525,submitted,1,16/03/2025,29/03/2025,2,0
1605,777,1605,100,0,205B,24050036,Actividad 8 205B 1,1742104740,1,1743619616,1724645833,submitted,1,16/03/2025,02/04/2025,2,0
1607,777,1607,100,0,205B,24050038,Actividad 8 205B 1,1742104740,1,1743138591,1724646036,submitted,1,16/03/2025,28/03/2025,2,0
1745,777,1745,100,0,205B,24050039,Actividad 8 205B 1,1742104740,1,1742952527,1724947832,submitted,1,16/03/2025,26/03/2025,2,0
1756,777,1756,100,0,205B,24050040,Actividad 8 205B 1,1742104740,1,1744321608,1725385495,submitted,1,16/03/2025,10/04/2025,2,0
1789,777,1789,100,0,205B,24050045,Actividad 8 205B 1,1742104740,1,1744165027,1726677288,submitted,1,16/03/2025,09/04/2025,2,0
1572,1097,1572,-1,0,205B,24050003,Portafolio de evidencia 205B,0,1,1743478510,1724633011,new,1,01/01/1970,01/04/2025,2,0
1578,1097,1578,-1,0,205B,24050009,Portafolio de evidencia 205B,0,1,1743284002,1724633587,new,1,01/01/1970,29/03/2025,2,0
1587,1097,1587,-1,0,205B,24050018,Portafolio de evidencia 205B,0,1,1743479255,1724643946,submitted,1,01/01/1970,01/04/2025,2,0
1591,1097,1591,-1,0,205B,24050022,Portafolio de evidencia 205B,0,1,1743544931,1724644384,new,1,01/01/1970,01/04/2025,2,0
1595,1097,1595,-1,0,205B,24050026,Portafolio de evidencia 205B,0,1,1743445304,1724644852,submitted,1,01/01/1970,31/03/2025,2,0
1745,1097,1745,-1,0,205B,24050039,Portafolio de evidencia 205B,0,1,1742952527,1724947832,new,1,01/01/1970,26/03/2025,2,0
1789,1097,1789,-1,0,205B,24050045,Portafolio de evidencia 205B,0,1,1744165027,1726677288,submitted,1,01/01/1970,09/04/2025,2,0
1572,1172,1572,100,0,205B,24050003,Actividad 4 205B,1709963940,1,1743478510,1724633011,new,1,09/03/2024,01/04/2025,2,0
1581,1172,1581,100,0,205B,24050012,Actividad 4 205B,1709963940,1,1743561841,1724633908,new,1,09/03/2024,02/04/2025,2,0
1587,1172,1587,100,0,205B,24050018,Actividad 4 205B,1709963940,1,1743479255,1724643946,new,1,09/03/2024,01/04/2025,2,0
1591,1172,1591,100,0,205B,24050022,Actividad 4 205B,1709963940,1,1743544931,1724644384,submitted,1,09/03/2024,01/04/2025,2,0
1594,1172,1594,100,0,205B,24050025,Actividad 4 205B,1709963940,1,1743894012,1724644719,new,1,09/03/2024,05/04/2025,2,0
1757,1172,1757,100,0,205B,24050041,Actividad 4 205B,1709963940,1,1743464543,1725385564,new,1,09/03/2024,31/03/2025,2,0
1789,1172,1789,100,0,205B,24050045,Actividad 4 205B,1709963940,1,1744165027,1726677288,submitted,1,09/03/2024,09/04/2025,2,0
1591,1173,1591,100,0,205B,24050022,Actividad 5 205B,1709963940,1,1743544931,1724644384,submitted,1,09/03/2024,01/04/2025,2,0
1594,1173,1594,100,0,205B,24050025,Actividad 5 205B,1709963940,1,1743894012,1724644719,new,1,09/03/2024,05/04/2025,2,0
1757,1173,1757,100,0,205B,24050041,Actividad 5 205B,1709963940,1,1743464543,1725385564,new,1,09/03/2024,31/03/2025,2,0
1789,1173,1789,100,0,205B,24050045,Actividad 5 205B,1709963940,1,1744165027,1726677288,new,1,09/03/2024,09/04/2025,2,0
1572,1219,1572,100,0,205B,24050003,Actividad 6 205B,1710568740,1,1743478510,1724633011,new,1,16/03/2024,01/04/2025,2,0
1591,1219,1591,100,0,205B,24050022,Actividad 6 205B,1710568740,1,1743544931,1724644384,submitted,1,16/03/2024,01/04/2025,2,0
1594,1219,1594,100,0,205B,24050025,Actividad 6 205B,1710568740,1,1743894012,1724644719,new,1,16/03/2024,05/04/2025,2,0
1789,1219,1789,100,0,205B,24050045,Actividad 6 205B,1710568740,1,1744165027,1726677288,new,1,16/03/2024,09/04/2025,2,0
1350,1336,1350,100,0,205B,23050043,Actividad 9 205B,1742709540,1,1743284106,1696989989,submitted,1,23/03/2025,29/03/2025,4,1
1570,1336,1570,100,0,205B,24050001,Actividad 9 205B,1742709540,1,1743290301,1724632734,submitted,1,23/03/2025,29/03/2025,2,0
1572,1336,1572,100,0,205B,24050003,Actividad 9 205B,1742709540,1,1743478510,1724633011,submitted,1,23/03/2025,01/04/2025,2,0
1575,1336,1575,100,0,205B,24050006,Actividad 9 205B,1742709540,1,1743441727,1724633261,submitted,1,23/03/2025,31/03/2025,2,0
1578,1336,1578,100,0,205B,24050009,Actividad 9 205B,1742709540,1,1743284002,1724633587,submitted,1,23/03/2025,29/03/2025,2,0
1587,1336,1587,100,0,205B,24050018,Actividad 9 205B,1742709540,1,1743479255,1724643946,submitted,1,23/03/2025,01/04/2025,2,0
1591,1336,1591,100,0,205B,24050022,Actividad 9 205B,1742709540,1,1743544931,1724644384,submitted,1,23/03/2025,01/04/2025,2,0
1594,1336,1594,100,0,205B,24050025,Actividad 9 205B,1742709540,1,1743894012,1724644719,submitted,1,23/03/2025,05/04/2025,2,0
1595,1336,1595,100,0,205B,24050026,Actividad 9 205B,1742709540,1,1743445304,1724644852,submitted,1,23/03/2025,31/03/2025,2,0
1602,1336,1602,100,0,205B,24050033,Actividad 9 205B,1742709540,1,1743284169,1724645525,submitted,1,23/03/2025,29/03/2025,2,0
1605,1336,1605,100,0,205B,24050036,Actividad 9 205B,1742709540,1,1743619616,1724645833,submitted,1,23/03/2025,02/04/2025,2,0
1607,1336,1607,100,0,205B,24050038,Actividad 9 205B,1742709540,1,1743138591,1724646036,submitted,1,23/03/2025,28/03/2025,2,0
1745,1336,1745,100,0,205B,24050039,Actividad 9 205B,1742709540,1,1742952527,1724947832,submitted,1,23/03/2025,26/03/2025,2,0
1756,1336,1756,100,0,205B,24050040,Actividad 9 205B,1742709540,1,1744321608,1725385495,submitted,1,23/03/2025,10/04/2025,2,0
1757,1336,1757,100,0,205B,24050041,Actividad 9 205B,1742709540,1,1743464543,1725385564,submitted,1,23/03/2025,31/03/2025,2,0
1789,1336,1789,100,0,205B,24050045,Actividad 9 205B,1742709540,1,1744165027,1726677288,submitted,1,23/03/2025,09/04/2025,2,0
1570,1357,1570,100,0,205B,24050001,Actividad 10. 205B,1743919140,1,1743290301,1724632734,submitted,1,06/04/2025,29/03/2025,2,0
1572,1357,1572,100,0,205B,24050003,Actividad 10. 205B,1743919140,1,1743478510,1724633011,submitted,1,06/04/2025,01/04/2025,2,0
1575,1357,1575,100,0,205B,24050006,Actividad 10. 205B,1743919140,1,1743441727,1724633261,submitted,1,06/04/2025,31/03/2025,2,0
1578,1357,1578,100,0,205B,24050009,Actividad 10. 205B,1743919140,1,1743284002,1724633587,submitted,1,06/04/2025,29/03/2025,2,0
1581,1357,1581,100,0,205B,24050012,Actividad 10. 205B,1743919140,1,1743561841,1724633908,submitted,1,06/04/2025,02/04/2025,2,0
1587,1357,1587,100,0,205B,24050018,Actividad 10. 205B,1743919140,1,1743479255,1724643946,submitted,1,06/04/2025,01/04/2025,2,0
1594,1357,1594,100,0,205B,24050025,Actividad 10. 205B,1743919140,1,1743894012,1724644719,submitted,1,06/04/2025,05/04/2025,2,0
1595,1357,1595,100,0,205B,24050026,Actividad 10. 205B,1743919140,1,1743445304,1724644852,submitted,1,06/04/2025,31/03/2025,2,0
1602,1357,1602,100,0,205B,24050033,Actividad 10. 205B,1743919140,1,1743284169,1724645525,submitted,1,06/04/2025,29/03/2025,2,0
1605,1357,1605,100,0,205B,24050036,Actividad 10. 205B,1743919140,1,1743619616,1724645833,submitted,1,06/04/2025,02/04/2025,2,0
1756,1357,1756,100,0,205B,24050040,Actividad 10. 205B,1743919140,1,1744321608,1725385495,submitted,1,06/04/2025,10/04/2025,2,0
1757,1357,1757,100,0,205B,24050041,Actividad 10. 205B,1743919140,1,1743464543,1725385564,submitted,1,06/04/2025,31/03/2025,2,0
1789,1357,1789,100,0,205B,24050045,Actividad 10. 205B,1743919140,1,1744165027,1726677288,submitted,1,06/04/2025,09/04/2025,2,0
1594,1470,1594,50,0,205B,24050025,EvaluaciÃ³n unidad 1,1717860600,1,1743894012,1724644719,new,1,08/06/2024,05/04/2025,2,0
1350,1474,1350,60,0,205B,23050043,EvaluaciÃ³n unidad 2,1717860600,1,1743284106,1696989989,new,1,08/06/2024,29/03/2025,4,1
1745,1474,1745,60,0,205B,24050039,EvaluaciÃ³n unidad 2,1717860600,1,1742952527,1724947832,new,1,08/06/2024,26/03/2025,2,0
1789,1474,1789,60,0,205B,24050045,EvaluaciÃ³n unidad 2,1717860600,1,1744165027,1726677288,new,1,08/06/2024,09/04/2025,2,0
1350,2462,1350,100,0,205B,23050043,Actividad 10 205B,1743141540,1,1743284106,1696989989,submitted,1,28/03/2025,29/03/2025,4,1
1570,2462,1570,100,0,205B,24050001,Actividad 10 205B,1743141540,1,1743290301,1724632734,submitted,1,28/03/2025,29/03/2025,2,0
1572,2462,1572,100,0,205B,24050003,Actividad 10 205B,1743141540,1,1743478510,1724633011,submitted,1,28/03/2025,01/04/2025,2,0
1575,2462,1575,100,0,205B,24050006,Actividad 10 205B,1743141540,1,1743441727,1724633261,submitted,1,28/03/2025,31/03/2025,2,0
1578,2462,1578,100,0,205B,24050009,Actividad 10 205B,1743141540,1,1743284002,1724633587,submitted,1,28/03/2025,29/03/2025,2,0
1587,2462,1587,100,0,205B,24050018,Actividad 10 205B,1743141540,1,1743479255,1724643946,submitted,1,28/03/2025,01/04/2025,2,0
1591,2462,1591,100,0,205B,24050022,Actividad 10 205B,1743141540,1,1743544931,1724644384,submitted,1,28/03/2025,01/04/2025,2,0
1594,2462,1594,100,0,205B,24050025,Actividad 10 205B,1743141540,1,1743894012,1724644719,submitted,1,28/03/2025,05/04/2025,2,0
1595,2462,1595,100,0,205B,24050026,Actividad 10 205B,1743141540,1,1743445304,1724644852,submitted,1,28/03/2025,31/03/2025,2,0
1602,2462,1602,100,0,205B,24050033,Actividad 10 205B,1743141540,1,1743284169,1724645525,submitted,1,28/03/2025,29/03/2025,2,0
1605,2462,1605,100,0,205B,24050036,Actividad 10 205B,1743141540,1,1743619616,1724645833,submitted,1,28/03/2025,02/04/2025,2,0
1607,2462,1607,100,0,205B,24050038,Actividad 10 205B,1743141540,1,1743138591,1724646036,submitted,1,28/03/2025,28/03/2025,2,0
1745,2462,1745,100,0,205B,24050039,Actividad 10 205B,1743141540,1,1742952527,1724947832,submitted,1,28/03/2025,26/03/2025,2,0
1756,2462,1756,100,0,205B,24050040,Actividad 10 205B,1743141540,1,1744321608,1725385495,submitted,1,28/03/2025,10/04/2025,2,0
1757,2462,1757,100,0,205B,24050041,Actividad 10 205B,1743141540,1,1743464543,1725385564,new,1,28/03/2025,31/03/2025,2,0
1789,2462,1789,100,0,205B,24050045,Actividad 10 205B,1743141540,1,1744165027,1726677288,submitted,1,28/03/2025,09/04/2025,2,0
558,2465,558,80,0,405-B TBD,21050036,Act 1 InvestigaciÃ³n 1,1743227400,1,1743809647,1692472096,new,1,29/03/2025,04/04/2025,8,3
558,2435,558,100,0,405-B TBD,21050036,Consultas sobre su propia BD,1742622600,1,1743809647,1692472096,new,1,22/03/2025,04/04/2025,8,3
558,850,558,100,0,405-B TBD,21050036,Actividad 4 Segunda parte de consultas,1742018220,1,1743809647,1692472096,submitted,1,15/03/2025,04/04/2025,8,3
558,849,558,50,0,405-B TBD,21050036,Actividad 3 InvestigaciÃ³n,1742017800,1,1743809647,1692472096,submitted,1,15/03/2025,04/04/2025,8,3
558,848,558,100,0,405-B TBD,21050036,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1743809647,1692472096,submitted,1,08/03/2025,04/04/2025,8,3
558,847,558,0,0,405-B TBD,21050036,Actividad 1,1740808200,1,1743809647,1692472096,new,1,01/03/2025,04/04/2025,8,3
562,2466,562,90,0,405-B TBD,21050044,Act 2 investigaciÃ³n 2,1743227400,1,1743829473,1692472096,submitted,1,29/03/2025,05/04/2025,8,3
562,2465,562,80,0,405-B TBD,21050044,Act 1 InvestigaciÃ³n 1,1743227400,1,1743829473,1692472096,submitted,1,29/03/2025,05/04/2025,8,3
562,2435,562,100,0,405-B TBD,21050044,Consultas sobre su propia BD,1742622600,1,1743829473,1692472096,submitted,1,22/03/2025,05/04/2025,8,3
562,850,562,100,0,405-B TBD,21050044,Actividad 4 Segunda parte de consultas,1742018220,1,1743829473,1692472096,submitted,1,15/03/2025,05/04/2025,8,3
562,849,562,50,0,405-B TBD,21050044,Actividad 3 InvestigaciÃ³n,1742017800,1,1743829473,1692472096,submitted,1,15/03/2025,05/04/2025,8,3
562,848,562,100,0,405-B TBD,21050044,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1743829473,1692472096,submitted,1,08/03/2025,05/04/2025,8,3
562,847,562,0,0,405-B TBD,21050044,Actividad 1,1740808200,1,1743829473,1692472096,new,1,01/03/2025,05/04/2025,8,3
796,2466,796,90,0,405-B TBD,22050057,Act 2 investigaciÃ³n 2,1743227400,1,1744159422,1692472098,submitted,1,29/03/2025,09/04/2025,6,2
796,2465,796,80,0,405-B TBD,22050057,Act 1 InvestigaciÃ³n 1,1743227400,1,1744159422,1692472098,submitted,1,29/03/2025,09/04/2025,6,2
796,2435,796,100,0,405-B TBD,22050057,Consultas sobre su propia BD,1742622600,1,1744159422,1692472098,submitted,1,22/03/2025,09/04/2025,6,2
796,850,796,100,0,405-B TBD,22050057,Actividad 4 Segunda parte de consultas,1742018220,1,1744159422,1692472098,new,1,15/03/2025,09/04/2025,6,2
796,849,796,50,0,405-B TBD,22050057,Actividad 3 InvestigaciÃ³n,1742017800,1,1744159422,1692472098,submitted,1,15/03/2025,09/04/2025,6,2
796,848,796,100,0,405-B TBD,22050057,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744159422,1692472098,submitted,1,08/03/2025,09/04/2025,6,2
796,847,796,0,0,405-B TBD,22050057,Actividad 1,1740808200,1,1744159422,1692472098,submitted,1,01/03/2025,09/04/2025,6,2
1037,2466,1037,90,0,405-B TBD,23050012,Act 2 investigaciÃ³n 2,1743227400,1,1744332573,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1037,2465,1037,80,0,405-B TBD,23050012,Act 1 InvestigaciÃ³n 1,1743227400,1,1744332573,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1037,2435,1037,100,0,405-B TBD,23050012,Consultas sobre su propia BD,1742622600,1,1744332573,1692472099,submitted,1,22/03/2025,11/04/2025,4,1
1037,850,1037,100,0,405-B TBD,23050012,Actividad 4 Segunda parte de consultas,1742018220,1,1744332573,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1037,849,1037,50,0,405-B TBD,23050012,Actividad 3 InvestigaciÃ³n,1742017800,1,1744332573,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1037,848,1037,100,0,405-B TBD,23050012,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744332573,1692472099,submitted,1,08/03/2025,11/04/2025,4,1
1037,847,1037,0,0,405-B TBD,23050012,Actividad 1,1740808200,1,1744332573,1692472099,submitted,1,01/03/2025,11/04/2025,4,1
1042,2466,1042,90,0,405-B TBD,23050017,Act 2 investigaciÃ³n 2,1743227400,1,1744331138,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1042,2465,1042,80,0,405-B TBD,23050017,Act 1 InvestigaciÃ³n 1,1743227400,1,1744331138,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1042,2435,1042,100,0,405-B TBD,23050017,Consultas sobre su propia BD,1742622600,1,1744331138,1692472099,new,1,22/03/2025,11/04/2025,4,1
1042,850,1042,100,0,405-B TBD,23050017,Actividad 4 Segunda parte de consultas,1742018220,1,1744331138,1692472099,new,1,15/03/2025,11/04/2025,4,1
1042,849,1042,50,0,405-B TBD,23050017,Actividad 3 InvestigaciÃ³n,1742017800,1,1744331138,1692472099,new,1,15/03/2025,11/04/2025,4,1
1042,848,1042,100,0,405-B TBD,23050017,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744331138,1692472099,new,1,08/03/2025,11/04/2025,4,1
1042,847,1042,0,0,405-B TBD,23050017,Actividad 1,1740808200,1,1744331138,1692472099,new,1,01/03/2025,11/04/2025,4,1
1043,2466,1043,90,0,405-B TBD,23050018,Act 2 investigaciÃ³n 2,1743227400,1,1744331629,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1043,2465,1043,80,0,405-B TBD,23050018,Act 1 InvestigaciÃ³n 1,1743227400,1,1744331629,1692472099,submitted,1,29/03/2025,11/04/2025,4,1
1043,2435,1043,100,0,405-B TBD,23050018,Consultas sobre su propia BD,1742622600,1,1744331629,1692472099,new,1,22/03/2025,11/04/2025,4,1
1043,850,1043,100,0,405-B TBD,23050018,Actividad 4 Segunda parte de consultas,1742018220,1,1744331629,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1043,849,1043,50,0,405-B TBD,23050018,Actividad 3 InvestigaciÃ³n,1742017800,1,1744331629,1692472099,submitted,1,15/03/2025,11/04/2025,4,1
1043,848,1043,100,0,405-B TBD,23050018,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744331629,1692472099,new,1,08/03/2025,11/04/2025,4,1
1043,847,1043,0,0,405-B TBD,23050018,Actividad 1,1740808200,1,1744331629,1692472099,submitted,1,01/03/2025,11/04/2025,4,1
1048,2466,1048,90,0,405-B TBD,23050023,Act 2 investigaciÃ³n 2,1743227400,1,1744224094,1692472099,submitted,1,29/03/2025,09/04/2025,4,1
1048,2465,1048,80,0,405-B TBD,23050023,Act 1 InvestigaciÃ³n 1,1743227400,1,1744224094,1692472099,submitted,1,29/03/2025,09/04/2025,4,1
1048,2435,1048,100,0,405-B TBD,23050023,Consultas sobre su propia BD,1742622600,1,1744224094,1692472099,submitted,1,22/03/2025,09/04/2025,4,1
1048,850,1048,100,0,405-B TBD,23050023,Actividad 4 Segunda parte de consultas,1742018220,1,1744224094,1692472099,submitted,1,15/03/2025,09/04/2025,4,1
1048,849,1048,50,0,405-B TBD,23050023,Actividad 3 InvestigaciÃ³n,1742017800,1,1744224094,1692472099,submitted,1,15/03/2025,09/04/2025,4,1
1048,848,1048,100,0,405-B TBD,23050023,Actividad 2 Ejercicios es clase Primera parte,1741413000,1,1744224094,1692472099,submitted,1,08/03/2025,09/04/2025,4,1
1048,847,1048,0,0,405-B TBD,23050023,Actividad 1,1740808200,1,1744224094,1692472099,submitted,1,01/03/2025,09/04/2025,4,1
1050,2466,1050,90,0,405-B TBD,23050025,Act 2 investigaciÃ³n 2,1743227400,1,1744250549,1692472099,submitted,1,29/03/2025,10/04/2025,4,1
